EntryTime,Expiry,Type,Strike,Direction,PnL
2024-08-29T14:00:00.0,2024-08-30T20:00:00.0,Put,550.0,1,-0.12
2024-08-29T14:00:00.0,2024-08-30T20:00:00.0,Call,573.0,1,-0.02
2024-08-30T14:00:00.0,2024-08-30T20:00:00.0,Put,558.0,-1,0.25
2024-08-30T14:00:00.0,2024-08-30T20:00:00.0,Call,565.0,-1,0.24
2024-08-30T14:00:00.0,2024-08-30T20:00:00.0,Put,552.0,1,-0.039999999999999994
2024-08-30T14:00:00.0,2024-08-30T20:00:00.0,Call,570.0,1,-0.009999999999999998
2024-09-03T14:00:00.0,2024-09-04T20:00:00.0,Put,552.0,-1,-0.8600000000000545
2024-09-03T14:00:00.0,2024-09-04T20:00:00.0,Call,564.0,-1,0.38
2024-09-03T14:00:00.0,2024-09-04T20:00:00.0,Put,546.0,1,-0.09
2024-09-03T14:00:00.0,2024-09-04T20:00:00.0,Call,570.0,1,-0.02
2024-09-04T14:00:00.0,2024-09-05T20:00:00.0,Put,543.0,-1,0.53
2024-09-04T14:00:00.0,2024-09-05T20:00:00.0,Call,557.0,-1,0.31
2024-09-04T14:00:00.0,2024-09-05T20:00:00.0,Put,537.0,1,-0.24
2024-09-04T14:00:00.0,2024-09-05T20:00:00.0,Call,563.0,1,-0.1
2024-09-05T14:00:00.0,2024-09-06T20:00:00.0,Put,544.0,-1,-3.3699999999999957
2024-09-05T14:00:00.0,2024-09-06T20:00:00.0,Call,561.0,-1,0.48
2024-09-05T14:00:00.0,2024-09-06T20:00:00.0,Put,538.0,1,-0.18
2024-09-05T14:00:00.0,2024-09-06T20:00:00.0,Call,565.0,1,-0.15
2024-09-06T14:00:00.0,2024-09-06T20:00:00.0,Put,542.0,-1,-1.5999999999999954
2024-09-06T14:00:00.0,2024-09-06T20:00:00.0,Call,552.5,-1,0.41
2024-09-06T14:00:00.0,2024-09-06T20:00:00.0,Put,536.0,1,-0.14
2024-09-06T14:00:00.0,2024-09-06T20:00:00.0,Call,558.0,1,-0.05
2024-09-09T14:00:00.0,2024-09-10T20:00:00.0,Put,538.0,-1,0.63
2024-09-09T14:00:00.0,2024-09-10T20:00:00.0,Call,551.0,-1,0.55
2024-09-09T14:00:00.0,2024-09-10T20:00:00.0,Put,532.0,1,-0.18
2024-09-09T14:00:00.0,2024-09-10T20:00:00.0,Call,557.0,1,-0.04
2024-09-10T14:00:00.0,2024-09-11T20:00:00.0,Put,540.0,-1,0.61
2024-09-10T14:00:00.0,2024-09-11T20:00:00.0,Call,554.0,-1,0.3699999999999727
2024-09-10T14:00:00.0,2024-09-11T20:00:00.0,Put,535.0,1,-0.17
2024-09-10T14:00:00.0,2024-09-11T20:00:00.0,Call,560.0,1,-0.05
2024-09-11T14:00:00.0,2024-09-12T20:00:00.0,Put,536.0,-1,0.54
